Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

20:04:59      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
20:11:50         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:11:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:12:00         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:05         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:12:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:12:20         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:25         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:30         0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.01
20:12:35         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:40         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:12:45         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
20:12:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:12:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:05         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:13:10         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:13:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:25         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:13:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:13:55         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:14:00         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:14:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:15         0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.02
20:14:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:25         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:14:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:55         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:15:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:10         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:15:15         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:15:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:35         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
20:15:40         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:15:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:00         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:05         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:15         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
20:16:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:25         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:35         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:40         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:16:50         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:16:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:05         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:17:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:20         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
20:17:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
