Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
17:55:38         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:55:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:55:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:55:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:55:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:08         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:56:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:56:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:56:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:56:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:38         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
17:57:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:48         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:57:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:03         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:58:08         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:58:13         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:58:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:58:58         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:59:03         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:59:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:59:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:59:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:48         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
17:59:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:59:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:00:23         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:00:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:00:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:53         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:00:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:08         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:01:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:18         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:01:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:28         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:01:33         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
18:01:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:43         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
18:01:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:01:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:03         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
