Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

08:08:01      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
08:19:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:19:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:20:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:21:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
