Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

21:27:30      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
21:27:35         0.36      0.09      0.01      0.00      0.24      0.06      0.01      0.00
21:27:40         0.24      0.08      0.01      0.03      0.16      0.05      0.01      0.00
21:27:45         0.13      0.07      0.01      0.02      0.08      0.05      0.01      0.00
21:27:50         0.08      0.07      0.01      0.01      0.05      0.04      0.00      0.00
21:27:55         0.04      0.06      0.01      0.00      0.03      0.04      0.00      0.00
21:28:00         0.03      0.05      0.01      0.00      0.02      0.03      0.00      0.00
21:28:05         0.01      0.05      0.01      0.00      0.01      0.03      0.00      0.00
21:28:10         0.01      0.04      0.01      0.00      0.00      0.03      0.00      0.00
21:28:15         0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00
21:28:20         0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00
21:28:25         0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00
21:28:30         0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00
21:28:35         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
21:28:40         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
21:28:45         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
21:28:50         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
21:28:55         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
21:29:00         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
21:29:05         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
21:29:10         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
21:29:15         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
21:29:20         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
21:29:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:29:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:30:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:30:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:30:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
21:30:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
