Linux 7.2.0-rc5-virtme (virtme-ng) 	07/31/26 	_x86_64_	(12 CPU)

13:34:37     %scpu-10  %scpu-60 %scpu-300     %scpu
13:34:42         0.00      0.00      0.00      0.02
13:34:47         0.00      0.00      0.00      0.00
13:34:52         0.00      0.00      0.00      0.00
13:34:57         0.00      0.00      0.00      0.00
13:35:02         0.00      0.00      0.00      0.00
13:35:07         0.00      0.00      0.00      0.00
13:35:12         0.00      0.00      0.00      0.00
13:35:17         0.00      0.00      0.00      0.01
13:35:22         0.00      0.00      0.00      0.00
13:35:27         0.00      0.00      0.00      0.00
13:35:32         0.00      0.00      0.00      0.00
13:35:37         0.00      0.00      0.00      0.00
13:35:42         0.00      0.00      0.00      0.00
13:35:47         0.00      0.00      0.00      0.00
13:35:52         0.00      0.00      0.00      0.00
13:35:57         0.00      0.00      0.00      0.00
13:36:02         0.00      0.00      0.00      0.00
13:36:07         0.00      0.00      0.00      0.00
13:36:12         0.00      0.00      0.00      0.00
13:36:17         0.00      0.00      0.00      0.00
13:36:22         0.00      0.00      0.00      0.00
13:36:27         0.00      0.00      0.00      0.02
13:36:32         0.00      0.00      0.00      0.21
13:36:37         0.00      0.00      0.00      0.01
13:36:42         0.00      0.00      0.00      0.01
13:36:47         0.00      0.00      0.00      0.01
13:36:52         0.00      0.00      0.00      0.01
13:36:57         0.00      0.00      0.00      0.01
13:37:02         0.00      0.00      0.00      0.01
13:37:07         0.00      0.00      0.00      0.01
13:37:12         0.00      0.00      0.00      0.01
13:37:17         0.00      0.00      0.00      0.01
13:37:22         0.00      0.00      0.00      0.01
13:37:27         0.00      0.00      0.00      0.01
13:37:32         0.00      0.00      0.00      0.01
13:37:37         0.00      0.00      0.00      0.01
13:37:42         0.00      0.00      0.00      0.01
13:37:47         0.00      0.00      0.00      0.01
13:37:52         0.00      0.00      0.00      0.01
13:37:57         0.00      0.00      0.00      0.01
13:38:02         0.00      0.00      0.00      0.01
13:38:07         0.00      0.00      0.00      0.01
13:38:12         0.00      0.00      0.00      0.01
13:38:17         0.00      0.00      0.00      0.01
13:38:22         0.00      0.00      0.00      0.01
13:38:27         0.00      0.00      0.00      0.01
13:38:32         0.00      0.00      0.00      0.01
13:38:37         0.00      0.00      0.00      0.01
13:38:42         0.00      0.00      0.00      0.01
13:38:47         0.00      0.00      0.00      0.01
13:38:52         0.00      0.00      0.00      0.01
13:38:57         0.00      0.00      0.00      0.01
13:39:02         0.00      0.00      0.00      0.01
13:39:07         0.00      0.00      0.00      0.01
13:39:12         0.00      0.00      0.00      0.01
13:39:17         0.00      0.00      0.00      0.01
13:39:22         0.00      0.00      0.00      0.01
13:39:27         0.00      0.00      0.00      0.01
13:39:32         0.00      0.00      0.00      0.01
13:39:37         0.00      0.00      0.00      0.01
13:39:42         0.00      0.00      0.00      0.01
13:39:47         0.00      0.00      0.00      0.01
13:39:52         0.00      0.00      0.00      0.01
13:39:57         0.00      0.00      0.00      0.01
13:40:02         0.00      0.00      0.00      0.01
13:40:07         0.00      0.00      0.00      0.01
13:40:12         0.00      0.00      0.00      0.01
13:40:17         0.00      0.00      0.00      0.01
13:40:22         0.00      0.00      0.00      0.01
13:40:27         0.00      0.00      0.00      0.01
13:40:32         0.00      0.00      0.00      0.01
13:40:37         0.00      0.00      0.00      0.01
13:40:42         0.00      0.00      0.00      0.05
13:40:47         0.00      0.00      0.00      0.01
13:40:52         0.00      0.00      0.00      0.01
13:40:57         0.00      0.00      0.00      0.01
13:41:02         0.00      0.00      0.00      0.01
13:41:07         0.00      0.00      0.00      0.01
13:41:12         0.00      0.00      0.00      0.01
13:41:17         0.00      0.00      0.00      0.06
13:41:22         0.00      0.00      0.00      0.02
13:41:27         0.00      0.00      0.00      0.01
13:41:32         0.00      0.00      0.00      0.01
13:41:37         0.00      0.00      0.00      0.01
13:41:42         0.00      0.00      0.00      0.01
13:41:47         0.00      0.00      0.00      0.01
13:41:52         0.00      0.00      0.00      0.01
13:41:57         0.00      0.00      0.00      0.01
13:42:02         0.00      0.00      0.00      0.01
13:42:07         0.00      0.00      0.00      0.01
13:42:12         0.00      0.00      0.00      0.01
13:42:17         0.00      0.00      0.00      0.01
13:42:22         0.00      0.00      0.00      0.01
13:42:27         0.00      0.00      0.00      0.01
13:42:32         0.00      0.00      0.00      0.10
13:42:37         0.00      0.00      0.00      0.01
13:42:42         0.00      0.00      0.00      0.01
13:42:47         0.00      0.00      0.00      0.01
13:42:52         0.00      0.00      0.00      0.01
13:42:57         0.00      0.00      0.00      0.01
13:43:03         0.00      0.00      0.00      0.01
13:43:08         0.00      0.00      0.00      0.01
13:43:13         0.00      0.00      0.00      0.01
13:43:18         0.00      0.00      0.00      0.01
13:43:23         0.00      0.00      0.00      0.01
13:43:28         0.00      0.00      0.00      0.01
13:43:33         0.00      0.00      0.00      0.01
13:43:38         0.00      0.00      0.00      0.01
13:43:43         0.00      0.00      0.00      0.01
13:43:48         0.00      0.00      0.00      0.01
13:43:53         0.00      0.00      0.00      0.01
13:43:58         0.00      0.00      0.00      0.01
13:44:03         0.00      0.00      0.00      0.01
13:44:08         0.00      0.00      0.00      0.01
13:44:13         0.00      0.00      0.00      0.01
13:44:18         0.00      0.00      0.00      0.01
13:44:23         0.00      0.00      0.00      0.01
13:44:28         0.00      0.00      0.00      0.01
13:44:33         0.00      0.00      0.00      0.01
13:44:38         0.00      0.00      0.00      0.01
13:44:43         0.00      0.00      0.00      0.01
