Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

21:18:51     %scpu-10  %scpu-60 %scpu-300     %scpu
21:30:41         0.00      0.00      0.00      0.05
21:30:46         0.00      0.00      0.00      0.10
21:30:51         0.00      0.00      0.00      0.05
21:30:56         0.00      0.00      0.00      0.04
21:31:01         0.00      0.00      0.00      0.17
21:31:06         0.00      0.00      0.00      0.07
21:31:11         0.00      0.00      0.00      0.07
21:31:16         0.00      0.00      0.00      0.09
21:31:21         0.00      0.00      0.00      0.05
21:31:26         0.00      0.00      0.00      0.07
21:31:31         0.00      0.00      0.00      0.08
21:31:36         0.00      0.00      0.00      0.06
21:31:41         0.00      0.00      0.00      0.06
21:31:46         0.00      0.00      0.00      0.05
21:31:51         0.00      0.00      0.00      0.05
21:31:56         0.00      0.00      0.00      0.11
21:32:01         0.00      0.00      0.00      0.04
21:32:06         0.00      0.00      0.00      0.34
21:32:11         0.00      0.00      0.00      0.13
21:32:16         0.00      0.00      0.00      0.04
21:32:21         0.00      0.00      0.00      0.10
21:32:26         0.00      0.00      0.00      0.17
21:32:31         0.00      0.00      0.00      0.23
21:32:36         0.00      0.00      0.00      0.16
21:32:41         0.00      0.00      0.00      0.33
21:32:46         0.00      0.00      0.00      0.14
21:32:51         0.00      0.00      0.00      0.20
21:32:56         0.00      0.00      0.00      0.12
21:33:01         0.00      0.00      0.00      0.09
21:33:06         0.00      0.00      0.00      0.45
21:33:11         0.00      0.00      0.00      0.14
21:33:16         0.00      0.00      0.00      0.51
21:33:21         0.00      0.00      0.00      0.06
21:33:26         0.00      0.00      0.00      0.04
21:33:31         0.00      0.00      0.00      0.05
21:33:36         0.00      0.00      0.00      0.05
21:33:41         0.00      0.00      0.00      0.07
21:33:46         0.00      0.00      0.00      0.03
21:33:51         0.00      0.00      0.00      0.03
21:33:56         0.00      0.00      0.00      0.03
21:34:01         0.00      0.00      0.00      0.04
21:34:06         0.00      0.00      0.00      0.04
21:34:11         0.00      0.00      0.00      0.05
21:34:16         0.00      0.00      0.00      0.04
21:34:21         0.00      0.00      0.00      0.02
21:34:26         0.00      0.00      0.00      0.03
21:34:31         0.00      0.00      0.00      0.06
21:34:36         0.00      0.00      0.00      0.06
21:34:41         0.00      0.00      0.00      0.08
21:34:46         0.00      0.00      0.00      0.08
21:34:51         0.00      0.00      0.00      0.06
21:34:56         0.00      0.00      0.00      0.08
21:35:01         0.00      0.00      0.00      0.06
21:35:06         0.00      0.00      0.00      0.03
21:35:11         0.00      0.00      0.00      0.05
21:35:16         0.00      0.00      0.00      0.05
21:35:21         0.00      0.00      0.00      0.12
