Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

06:07:14     %scpu-10  %scpu-60 %scpu-300     %scpu
06:19:04         0.00      0.00      0.00      0.01
06:19:09         0.00      0.00      0.00      0.01
06:19:14         0.00      0.00      0.00      0.01
06:19:19         0.00      0.00      0.00      0.01
06:19:24         0.00      0.00      0.00      0.01
06:19:29         0.00      0.00      0.00      0.01
06:19:34         0.00      0.00      0.00      0.01
06:19:39         0.00      0.00      0.00      0.01
06:19:44         0.00      0.00      0.00      0.01
06:19:49         0.00      0.00      0.00      0.01
06:19:54         0.00      0.00      0.00      0.01
06:19:59         0.00      0.00      0.00      0.01
06:20:04         0.00      0.00      0.00      0.01
06:20:09         0.00      0.00      0.00      0.03
06:20:14         0.00      0.00      0.00      0.01
06:20:19         0.00      0.00      0.00      0.01
06:20:24         0.00      0.00      0.00      0.01
06:20:29         0.00      0.00      0.00      0.01
06:20:34         0.00      0.00      0.00      0.01
06:20:39         0.00      0.00      0.00      0.01
06:20:44         0.00      0.00      0.00      0.01
06:20:49         0.00      0.00      0.00      0.01
06:20:54         0.00      0.00      0.00      0.01
06:20:59         0.00      0.00      0.00      0.01
06:21:04         0.00      0.00      0.00      0.01
06:21:09         0.00      0.00      0.00      0.01
06:21:14         0.00      0.00      0.00      0.01
06:21:19         0.00      0.00      0.00      0.01
06:21:24         0.00      0.00      0.00      0.01
06:21:29         0.00      0.00      0.00      0.01
06:21:34         0.00      0.00      0.00      0.01
06:21:39         0.00      0.00      0.00      0.01
06:21:44         0.00      0.00      0.00      0.01
06:21:49         0.00      0.00      0.00      0.01
06:21:54         0.00      0.00      0.00      0.01
06:21:59         0.00      0.00      0.00      0.01
06:22:04         0.00      0.00      0.00      0.01
06:22:09         0.00      0.00      0.00      0.01
06:22:14         0.00      0.00      0.00      0.01
06:22:19         0.00      0.00      0.00      0.01
06:22:24         0.00      0.00      0.00      0.03
06:22:29         0.00      0.00      0.00      0.01
06:22:34         0.00      0.00      0.00      0.01
06:22:39         0.00      0.00      0.00      0.01
06:22:44         0.00      0.00      0.00      0.01
06:22:49         0.00      0.00      0.00      0.01
06:22:54         0.00      0.00      0.00      0.01
06:22:59         0.00      0.00      0.00      0.01
06:23:04         0.00      0.00      0.00      0.01
06:23:09         0.00      0.00      0.00      0.01
06:23:14         0.00      0.00      0.00      0.01
06:23:19         0.00      0.00      0.00      0.01
06:23:24         0.00      0.00      0.00      0.01
06:23:29         0.00      0.00      0.00      0.01
06:23:34         0.00      0.00      0.00      0.01
06:23:39         0.00      0.00      0.00      0.01
06:23:44         0.00      0.00      0.00      0.01
06:23:49         0.00      0.00      0.00      0.01
06:23:54         0.00      0.00      0.00      0.06
06:23:59         0.00      0.00      0.00      0.01
06:24:04         0.00      0.00      0.00      0.01
06:24:09         0.00      0.00      0.00      0.01
06:24:14         0.00      0.00      0.00      0.00
06:24:19         0.00      0.00      0.00      0.01
06:24:24         0.00      0.00      0.00      0.00
06:24:29         0.00      0.00      0.00      0.00
06:24:34         0.00      0.00      0.00      0.00
06:24:39         0.00      0.00      0.00      0.01
06:24:44         0.00      0.00      0.00      0.01
06:24:49         0.00      0.00      0.00      0.01
06:24:54         0.00      0.00      0.00      0.01
06:24:59         0.00      0.00      0.00      0.01
06:25:04         0.00      0.00      0.00      0.01
06:25:09         0.00      0.00      0.00      0.01
06:25:14         0.00      0.00      0.00      0.01
06:25:19         0.00      0.00      0.00      0.01
06:25:24         0.00      0.00      0.00      0.01
06:25:29         0.00      0.00      0.00      0.01
06:25:34         0.00      0.00      0.00      0.01
06:25:39         0.00      0.00      0.00      0.01
06:25:44         0.00      0.00      0.00      0.01
06:25:49         0.00      0.00      0.00      0.01
06:25:54         0.00      0.00      0.00      0.01
06:25:59         0.00      0.00      0.00      0.01
06:26:04         0.00      0.00      0.00      0.01
06:26:09         0.00      0.00      0.00      0.01
06:26:14         0.00      0.00      0.00      0.01
06:26:19         0.00      0.00      0.00      0.01
06:26:24         0.00      0.00      0.00      0.01
06:26:29         0.00      0.00      0.00      0.01
06:26:34         0.00      0.00      0.00      0.01
06:26:39         0.00      0.00      0.00      0.01
06:26:44         0.00      0.00      0.00      0.01
06:26:49         0.00      0.00      0.00      0.01
06:26:54         0.00      0.00      0.00      0.03
06:26:59         0.00      0.00      0.00      0.01
06:27:04         0.00      0.00      0.00      0.01
06:27:09         0.00      0.00      0.00      0.01
06:27:14         0.00      0.00      0.00      0.01
06:27:19         0.00      0.00      0.00      0.01
06:27:24         0.00      0.00      0.00      0.01
06:27:29         0.00      0.00      0.00      0.01
06:27:34         0.00      0.00      0.00      0.01
06:27:39         0.00      0.00      0.00      0.01
06:27:44         0.00      0.00      0.00      0.01
06:27:49         0.00      0.00      0.00      0.01
06:27:54         0.00      0.00      0.00      0.01
06:27:59         0.00      0.00      0.00      0.01
06:28:04         0.00      0.00      0.00      0.01
06:28:09         0.00      0.00      0.00      0.01
06:28:14         0.00      0.00      0.00      0.01
06:28:19         0.00      0.00      0.00      0.01
06:28:24         0.00      0.00      0.00      0.01
06:28:29         0.00      0.00      0.00      0.01
06:28:34         0.00      0.00      0.00      0.01
06:28:39         0.00      0.00      0.00      0.01
06:28:44         0.00      0.00      0.00      0.01
06:28:49         0.00      0.00      0.00      0.01
06:28:54         0.00      0.00      0.00      0.01
06:28:59         0.00      0.00      0.00      0.01
06:29:04         0.00      0.00      0.00      0.01
06:29:09         0.00      0.00      0.00      0.01
06:29:14         0.00      0.00      0.00      0.01
06:29:19         0.00      0.00      0.00      0.01
06:29:24         0.00      0.00      0.00      0.01
06:29:29         0.00      0.00      0.00      0.01
06:29:34         0.00      0.00      0.00      0.01
06:29:39         0.00      0.00      0.00      0.01
06:29:44         0.00      0.00      0.00      0.01
06:29:49         0.00      0.00      0.00      0.01
06:29:54         0.00      0.00      0.00      0.01
06:29:59         0.00      0.00      0.00      0.01
06:30:04         0.00      0.00      0.00      0.01
06:30:09         0.00      0.00      0.00      0.01
06:30:14         0.00      0.00      0.00      0.01
06:30:19         0.00      0.00      0.00      0.01
06:30:24         0.00      0.00      0.00      0.01
06:30:29         0.00      0.00      0.00      0.01
06:30:34         0.00      0.00      0.00      0.01
06:30:39         0.00      0.00      0.00      0.01
06:30:44         0.00      0.00      0.00      0.01
06:30:49         0.00      0.00      0.00      0.01
06:30:54         0.00      0.00      0.00      0.01
06:30:59         0.00      0.00      0.00      0.01
06:31:04         0.00      0.00      0.00      0.03
06:31:09         0.00      0.00      0.00      0.01
06:31:14         0.00      0.00      0.00      0.01
06:31:19         0.00      0.00      0.00      0.01
06:31:24         0.00      0.00      0.00      0.01
06:31:29         0.00      0.00      0.00      0.01
06:31:34         0.00      0.00      0.00      0.01
06:31:39         0.00      0.00      0.00      0.01
06:31:44         0.00      0.00      0.00      0.01
06:31:49         0.00      0.00      0.00      0.01
06:31:54         0.00      0.00      0.00      0.01
06:31:59         0.00      0.00      0.00      0.01
06:32:04         0.00      0.00      0.00      0.01
06:32:09         0.00      0.00      0.00      0.01
06:32:14         0.00      0.00      0.00      0.01
06:32:19         0.00      0.00      0.00      0.01
06:32:24         0.00      0.00      0.00      0.01
06:32:29         0.00      0.00      0.00      0.01
06:32:34         0.00      0.00      0.00      0.01
06:32:39         0.00      0.00      0.00      0.01
06:32:44         0.00      0.00      0.00      0.01
06:32:49         0.00      0.00      0.00      0.01
06:32:54         0.00      0.00      0.00      0.01
06:32:59         0.00      0.00      0.00      0.01
06:33:04         0.00      0.00      0.00      0.01
06:33:09         0.00      0.00      0.00      0.01
06:33:14         0.00      0.00      0.00      0.01
06:33:19         0.00      0.00      0.00      0.01
06:33:24         0.00      0.00      0.00      0.01
06:33:29         0.00      0.00      0.00      0.01
06:33:34         0.00      0.00      0.00      0.01
06:33:39         0.00      0.00      0.00      0.01
06:33:44         0.00      0.00      0.00      0.01
06:33:49         0.00      0.00      0.00      0.01
06:33:54         0.00      0.00      0.00      0.01
06:33:59         0.00      0.00      0.00      0.01
06:34:04         0.00      0.00      0.00      0.01
06:34:09         0.00      0.00      0.00      0.03
06:34:14         0.00      0.00      0.00      0.01
06:34:19         0.00      0.00      0.00      0.01
06:34:24         0.00      0.00      0.00      0.01
06:34:29         0.00      0.00      0.00      0.01
06:34:34         0.00      0.00      0.00      0.01
06:34:39         0.00      0.00      0.00      0.01
06:34:44         0.00      0.00      0.00      0.01
06:34:49         0.00      0.00      0.00      0.01
06:34:54         0.00      0.00      0.00      0.01
06:34:59         0.00      0.00      0.00      0.01
06:35:04         0.00      0.00      0.00      0.01
06:35:09         0.00      0.00      0.00      0.01
06:35:14         0.00      0.00      0.00      0.01
06:35:19         0.00      0.00      0.00      0.01
06:35:24         0.00      0.00      0.00      0.01
06:35:29         0.00      0.00      0.00      0.01
06:35:34         0.00      0.00      0.00      0.01
06:35:39         0.00      0.00      0.00      0.01
06:35:44         0.00      0.00      0.00      0.01
06:35:49         0.00      0.00      0.00      0.01
06:35:54         0.00      0.00      0.00      0.01
06:35:59         0.00      0.00      0.00      0.01
06:36:04         0.00      0.00      0.00      0.01
06:36:09         0.00      0.00      0.00      0.01
06:36:14         0.00      0.00      0.00      0.01
06:36:19         0.00      0.00      0.00      0.01
06:36:24         0.00      0.00      0.00      0.01
06:36:29         0.00      0.00      0.00      0.01
06:36:34         0.00      0.00      0.00      0.01
06:36:39         0.00      0.00      0.00      0.01
06:36:44         0.00      0.00      0.00      0.01
06:36:49         0.00      0.00      0.00      0.01
06:36:54         0.00      0.00      0.00      0.01
06:36:59         0.00      0.00      0.00      0.03
06:37:04         0.00      0.00      0.00      0.01
06:37:09         0.00      0.00      0.00      0.01
06:37:14         0.00      0.00      0.00      0.03
06:37:19         0.00      0.00      0.00      0.01
06:37:24         0.00      0.00      0.00      0.03
06:37:29         0.00      0.00      0.00      0.05
06:37:34         0.00      0.00      0.00      0.01
06:37:39         0.00      0.00      0.00      0.01
06:37:44         0.00      0.00      0.00      0.01
06:37:49         0.00      0.00      0.00      0.01
06:37:54         0.00      0.00      0.00      0.01
06:37:59         0.00      0.00      0.00      0.01
06:38:04         0.00      0.00      0.00      0.01
06:38:09         0.00      0.00      0.00      0.01
06:38:14         0.00      0.00      0.00      0.01
06:38:19         0.00      0.00      0.00      0.01
06:38:24         0.00      0.00      0.00      0.01
06:38:29         0.00      0.00      0.00      0.01
06:38:34         0.00      0.00      0.00      0.01
06:38:39         0.00      0.00      0.00      0.01
06:38:44         0.00      0.00      0.00      0.01
06:38:49         0.00      0.00      0.00      0.01
06:38:54         0.00      0.00      0.00      0.01
06:38:59         0.00      0.00      0.00      0.02
06:39:04         0.00      0.00      0.00      0.00
06:39:09         0.00      0.00      0.00      0.00
06:39:14         0.00      0.00      0.00      0.00
06:39:19         0.00      0.00      0.00      0.00
06:39:24         0.00      0.00      0.00      0.00
06:39:29         0.00      0.00      0.00      0.00
06:39:34         0.00      0.00      0.00      0.00
06:39:39         0.00      0.00      0.00      0.00
06:39:44         0.00      0.00      0.00      0.00
06:39:49         0.00      0.00      0.00      0.00
06:39:54         0.00      0.00      0.00      0.00
06:39:59         0.00      0.00      0.00      0.00
06:40:04         0.00      0.00      0.00      0.00
06:40:09         0.00      0.00      0.00      0.00
06:40:14         0.00      0.00      0.00      0.00
06:40:19         0.00      0.00      0.00      0.00
06:40:24         0.00      0.00      0.00      0.00
06:40:29         0.00      0.00      0.00      0.00
06:40:34         0.00      0.00      0.00      0.00
06:40:39         0.00      0.00      0.00      0.00
06:40:44         0.00      0.00      0.00      0.00
06:40:49         0.00      0.00      0.00      0.00
06:40:54         0.00      0.00      0.00      0.01
06:40:59         0.00      0.00      0.00      0.00
06:41:04         0.00      0.00      0.00      0.00
06:41:09         0.00      0.00      0.00      0.00
06:41:14         0.00      0.00      0.00      0.00
06:41:19         0.00      0.00      0.00      0.00
06:41:24         0.00      0.00      0.00      0.00
06:41:29         0.00      0.00      0.00      0.01
06:41:34         0.00      0.00      0.00      0.00
06:41:39         0.00      0.00      0.00      0.00
06:41:44         0.00      0.00      0.00      0.00
06:41:49         0.00      0.00      0.00      0.00
06:41:54         0.00      0.00      0.00      0.00
06:41:59         0.00      0.00      0.00      0.03
06:42:04         0.00      0.00      0.00      0.00
